time_s,mean_alignment,mean_height_m,success_fraction,active_fraction
4.08,-0.9599670767784119,-0.13467003405094147,0.5546875,0.4453125
4.1,-0.9599679112434387,-0.13466954231262207,0.5546875,0.4453125
4.12,-0.9599683284759521,-0.1346694380044937,0.5546875,0.4453125
4.14,-0.9599669575691223,-0.13466957211494446,0.5546875,0.4453125
4.16,-0.9599689841270447,-0.1346691995859146,0.5546875,0.4453125
4.18,-0.9599711894989014,-0.13466863334178925,0.5546875,0.4453125
4.2,-0.9599722027778625,-0.13466857373714447,0.5546875,0.4453125
4.22,-0.959973931312561,-0.13466797769069672,0.5546875,0.4453125
4.24,-0.9599734544754028,-0.13466784358024597,0.5546875,0.4453125
4.26,-0.9599736332893372,-0.13466790318489075,0.5546875,0.4453125
4.28,-0.9599733352661133,-0.13466776907444,0.5546875,0.4453125
4.3,-0.9599725604057312,-0.13466787338256836,0.5546875,0.4453125
4.32,-0.9599719643592834,-0.13466812670230865,0.5546875,0.4453125
4.34,-0.9599724411964417,-0.13466796278953552,0.5546875,0.4453125
4.36,-0.9599733948707581,-0.13466776907444,0.5546875,0.4453125
4.38,-0.9599730968475342,-0.13466805219650269,0.5546875,0.4453125
4.4,-0.9599727392196655,-0.1346682906150818,0.5546875,0.4453125
4.42,-0.9599705338478088,-0.1346687227487564,0.5546875,0.4453125
4.44,-0.9599698185920715,-0.13466879725456238,0.5546875,0.4453125
4.46,-0.9599685668945312,-0.13466912508010864,0.5546875,0.4453125
4.48,-0.9599687457084656,-0.13466942310333252,0.5546875,0.4453125
4.5,-0.9599689841270447,-0.1346692591905594,0.5546875,0.4453125
4.52,-0.9599688649177551,-0.13466928899288177,0.5546875,0.4453125
4.54,-0.9599676132202148,-0.134669691324234,0.5546875,0.4453125
4.56,-0.9599686861038208,-0.13466930389404297,0.5546875,0.4453125
4.58,-0.959970235824585,-0.13466882705688477,0.5546875,0.4453125
4.6,-0.9599702954292297,-0.13466894626617432,0.5546875,0.4453125
4.62,-0.9599713683128357,-0.13466882705688477,0.5546875,0.4453125
4.64,-0.9599722027778625,-0.13466858863830566,0.5546875,0.4453125
4.66,-0.9599707722663879,-0.13466902077198029,0.5546875,0.4453125
4.68,-0.9599670171737671,-0.1346699744462967,0.5546875,0.4453125
4.7,-0.9599659442901611,-0.13467015326023102,0.5546875,0.4453125
4.72,-0.9599645137786865,-0.13467061519622803,0.5546875,0.4453125
4.74,-0.9599640965461731,-0.13467074930667877,0.5546875,0.4453125
4.76,-0.9599646925926208,-0.13467048108577728,0.5546875,0.4453125
4.78,-0.9599636197090149,-0.1346692144870758,0.5546875,0.4453125
4.8,-0.9599634408950806,-0.1346692442893982,0.5546875,0.4453125
4.82,-0.9599631428718567,-0.13466913998126984,0.5546875,0.4453125
4.84,-0.9599626064300537,-0.13466930389404297,0.5546875,0.4453125
4.86,-0.9599639177322388,-0.13466879725456238,0.5546875,0.4453125
4.88,-0.959965705871582,-0.13466838002204895,0.5546875,0.4453125
4.9,-0.9599670767784119,-0.13466781377792358,0.5546875,0.4453125
4.92,-0.9599686861038208,-0.13466735184192657,0.5546875,0.4453125
4.94,-0.9599701762199402,-0.13466709852218628,0.5546875,0.4453125
4.96,-0.95997154712677,-0.1346670389175415,0.5546875,0.4453125
4.98,-0.9599702954292297,-0.1346670687198639,0.5546875,0.4453125
5.0,0.7728075981140137,0.09000000357627869,0.5546875,0.4453125
